PI,Test #,Date,GMT,Sample #,Fuel Sample Material,Flow restrictor,Fan display,Air display,Radiometer gain   (1000   250   50   10),Total Frames Shot,Calibrated  initial O2 % by vol ,Calibrated final O2 % by vol,Initial CO2 % by vol,Final CO2 % by vol,Initial CO (ppm),Final CO (ppm)
Miller,M18,7/15/2014,196,168m,2 cm wide PMMA 3 mm thick,2,Fan pot 3.5   5 (brief)   3  5   2.2,10   15 (brief)   10   8,50>250,178,17.9,16.8,0.32,1.31,0,335
Miller,M19,7/23/2014,204,170m,4 mm thick   2 cm 2ide PMMA slab,2,75  105  94  75  77  79  59  61  57  55  53 (4.4  8.0  6.6  4.4  4.6  4.8  2.5  2.7  2.2  2.0  1.8),10  17  14  10  7  5,250   50   250,201,19,17.4,0.35,1.6,3,357
Miller,M20,8/1/2014,213,172m,5 mm thick PMMA   2 cm wide,1,67   58,10  8,50,168,18,17.4,0.3,0.75,0,157
Olson,O1,2/18/2014,49,207,"1/4"" clear rod",2,89  62  50  41,20  10  5  2  1,50,62,22.2,21.7,0.44,0.85,-1,51
Olson,O2,2/18/2014,49,204,"1/4"" clear rod",2,.54 pot   0.45 pot,0,50,287,22.2,21.9,0.44,0.59,-1,23
Olson,O3a,6/13/2014,164,205M,"1/4"" clear rod",2,,5  3,1000,85,18,18,0.25,0.28,16,22
Olson,O3b,6/13/2014,164,205M,"1/4"" clear rod",2,,5  3  2  1  low,1000   250,306,18,17.7,0.28,0.53,22,116
Olson,O4,7/8/2014,189,216m,"3/8""clear rod",2,5   0.7   0.5   0.4   0.36 ext,5   down to ext,250,249,14.8,13.6,0.72,1.72,290,OR
Olson,O5a,7/21/2014,202,220m,"1/2"" clear PMMA rod",2,1.3   2.7   1.3   0.7   0.45. 4.0,5  10  5   2   0 (49   62   49   44   42),250,164,15.1,14.2,0.25,1.05,-2,496
Olson,O5b,7/21/2014,202,220m,"1/2"" clear PMMA rod",2,1.3,49   5 cm/s,250,2,14.2,14.1,1.05,1.14,496,590
Olson,O6,6/26/2014,177,206M,"1/4"" clear rod",2,5   .36  .32  .31  .305   out .275,see fan,250,241,16.7,16,0.32,0.74,1,232
Olson,O7,6/26/2014,177,214m,"1/4"" clear rod",2,5   .36  .32  ..305   blowoff fan max 10,,250,254,16,15.5,0.74,1.27,232,512
Olson,O8a,6/26/2014,177,208m,"1/4"" clear rod",2,5   .36  .32  .31   extinguished,,250,133,15.7,15.3,1.23,1.44,436,536
Olson,O8b,6/26/2014,177,208m,"1/4"" clear rod",2,5  .36  .32  .31 blowoff fan pot 6.0,,250,152,15.5,15.2,1.44,1.74,536,660
Olson,O9,6/26/2014,177,209m,"1/4"" clear rod",2,5   .36  .32 blowoff pt 4.0,,250,154,15,14.8,1.74,1.96,660,794
Olson,O10,7/22/2014,213,210m,"1/4"" clear rod",2,49  44  41   122 (1.3   0.7   0.4   0.36   0.32   10),5  2   0   max,250,172,16.7,16.1,1.61,2.1,94,287
Olson,O11,7/8/2014,189,184m,"1/4"" black rod",2,ign 5   0.36   0.32   0.31   0.305   blowoff 6.0,5   down then blowoff,250,271,15.4,14.8,0.27,0.72,2,290
Olson,O12,7/8/2014,189,217m,"3/8"" clear rod",2,pots 1.4   3   0.9   0.7,no ign at any flow,250,52,13.6,13.5,1.72,1.71,OR,OR
Olson,O13a,7/21/2014,202,221m,"1/2"" clear PMMA rod",2,1.3   0.7   0.45   0.36   0.32   0.31,49  44  42  41  41  40.5 (5   2   0),250,199,15.9,14.6,0.91,1.85,389,950
Olson,O13b,7/21/2014,202,221m,"1/2"" clear PMMA rod",2,1.3   0.9,7   4? (49   ?),250,6,14.6,14.4,1.85,2.09,950,over
Olson,O14,8/1/2014,213,183m,"1/4"" black rod",1,52   and down,5 down to ext,250,279,16.3,15.3,0.29,0.86,4,352
Olson,O15a,7/28/2014,209,218m,"3/8"" clear rod",2,57.5   47   42   41 (2.3   1.0   0.5   0.35   0.32),5  0,250,124,17.1,16.7,0.27,0.62,0,176
Olson,O15b,7/28/2014,209,218m,"3/8"" clear rod",2,57.5   42   41   40 (2.3   0.5   0.35   0.34   0.33   0.32   0.31   0.30   0.29   0.28   0.27),5   0,250,316,16.7,15.6,0.62,1.63,176,751
Olson,O16,7/29/2014,210,219m,"3/8""clear rod",2,60 (2.6),5,250,10 postburn only,14.5,14.5,0.27,0.32,2,33
Olson,O17,7/22/2014,203,211m,"1/4"" clear rod",2,49   46.5   44   42  41  72   decr (1.3   1.0   0.7   0.5   0.4   4.0   decr ),3   0   11,250,174,15.1,14.3,0.31,0.9,2,377
Olson,O18,7/28/2014,209,212m,"1/4"" clear rod",2,57  51  47  72  51  72  51  47 (2.3   1.5   1.0   4.0   1.5   4.0   1.5   1.0),5  2  0  11  2  11  2  0,250,176,15.2,14.5,1.45,1.94,523,816
Olson,O19,8/1/2014,213,213m,"1/4"" clear rod",1,52   and down,5 down to ext,250,266,15.3,14.6,0.86,1.51,352,686
